Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SPB           ,"Spectrum Brands Holdings, Inc.",103.7,$5.74B,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/spb
TRK,"Speedway Motorsports, Inc.",17.82,$730.21M,1995,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/trk
SR,Spire Inc.,72.3,$3.5B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/sr
SPR,"Spirit Aerosystems Holdings, Inc.",83.7,$9.59B,2006,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/spr
SAVE,"Spirit Airlines, Inc.",37.78,$2.58B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/save
SRC,"Spirit Realty Capital, Inc.",7.76,$3.48B,2013,Consumer Services,Building operators,https://www.nasdaq.com/symbol/src
SRC^A,"Spirit Realty Capital, Inc.",21.73,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/src^a
SRLP,Sprague Resources LP,23.85,$542.05M,2013,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/srlp
S,Sprint Corporation,4.88,$19.53B,2013,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/s
SPXC,SPX Corporation,32.48,$1.39B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/spxc
FLOW,"SPX FLOW, Inc.",49.19,$2.09B,2015,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/flow
SQ,"Square, Inc.",49.2,$19.5B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sq
JOE,St. Joe Company (The),18.85,$1.23B,n/a,Consumer Services,Homebuilding,https://www.nasdaq.com/symbol/joe
STAG,"Stag Industrial, Inc.",23.92,$2.33B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/stag
STAG^B,"Stag Industrial, Inc.",25.11,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stag^b
STAG^C,"Stag Industrial, Inc.",25.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stag^c
SSI,"Stage Stores, Inc.",2.18,$62.63M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/ssi
SMP,"Standard Motor Products, Inc.",47.57,$1.07B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/smp
SXI,Standex International Corporation,95.35,$1.22B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sxi
SWJ,"Stanley Black & Decker, Inc.",25.18,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/swj
SWK,"Stanley Black & Decker, Inc.",153.2,$23.61B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/swk
SWP,"Stanley Black & Decker, Inc.",114.55,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/swp
STN,Stantec Inc,24.65,$2.81B,n/a,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/stn
SGU,"Star Group, L.P.",9.35,$522.55M,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/sgu
SRT,"StarTek, Inc.",9.78,$158.43M,1997,Technology,Professional Services,https://www.nasdaq.com/symbol/srt
STWD,"STARWOOD PROPERTY TRUST, INC.",20.95,$5.48B,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/stwd
STT,State Street Corporation,99.73,$36.67B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stt
STT^C,State Street Corporation,25.07,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^c
STT^D,State Street Corporation,27.41,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^d
STT^E,State Street Corporation,26.3,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^e
STT^G,State Street Corporation,26.79,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/stt^g
STO,Statoil ASA,23.65,$78.39B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/sto
SPLP,Steel Partners Holdings LP,17.9,$470.7M,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/splp
SPLP^A,Steel Partners Holdings LP,20.57,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/splp^a
SCS,Steelcase Inc.,13.6,$1.58B,1998,Consumer Durables,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/scs
SCA,Stellus Capital Investment Corporation,25.14,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sca
SCM,Stellus Capital Investment Corporation,11.51,$183.63M,2012,n/a,n/a,https://www.nasdaq.com/symbol/scm
SCL,Stepan Company,83.18,$1.87B,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/scl
STE,STERIS plc,93.36,$7.92B,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ste
STL,Sterling Bancorp,22.55,$5.07B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stl
STL^A,Sterling Bancorp,26,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stl^a
STC,Stewart Information Services Corporation,43.94,$1.04B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/stc
SF,Stifel Financial Corporation,59.23,$4.26B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sf
SF^A,Stifel Financial Corporation,26.6923,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sf^a
SFB,Stifel Financial Corporation,24.65,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sfb
STM,STMicroelectronics N.V.,22.29,$19.98B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/stm
SGY,Stone Energy Corporation,37.1,$741.95M,1993,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sgy
EDF,Stone Harbor Emerging Markets Income Fund,15.92,$253.25M,2010,n/a,n/a,https://www.nasdaq.com/symbol/edf
EDI,Stone Harbor Emerging Markets Total Income Fund,14.88,$143.22M,2012,n/a,n/a,https://www.nasdaq.com/symbol/edi
STON,StoneMor Partners L.P.,6.21,$235.72M,2004,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ston
SRI,"Stoneridge, Inc.",27.6,$777.76M,1997,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/sri
STOR,STORE Capital Corporation,24.82,$4.82B,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/stor
GJH,STRATS Trust,9.61,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gjh
GJO,STRATS Trust,22.0601,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gjo
GJS,STRATS Trust,21.44,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gjs
SYK,Stryker Corporation,160.92,$60.04B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/syk
RGR,"Sturm, Ruger & Company, Inc.",52.5,$914.92M,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/rgr
SPH,"Suburban Propane Partners, L.P.",22.01,$1.35B,1996,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/sph
SMFG,Sumitomo Mitsui Financial Group Inc,8.5,$59.95B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/smfg
INN,"Summit Hotel Properties, Inc.",13.61,$1.42B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/inn
INN^D,"Summit Hotel Properties, Inc.",24.2154,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/inn^d
INN^E,"Summit Hotel Properties, Inc.",24.0399,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/inn^e
SUM,"Summit Materials, Inc.",30.28,$3.34B,2015,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/sum
SMLP,"Summit Midstream Partners, LP",14.05,$1.03B,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/smlp
SUI,"Sun Communities, Inc.",91.37,$7.3B,1993,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sui
SLF,Sun Life Financial Inc.,41.12,$25.07B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/slf
SXCP,"SunCoke Energy Partners, L.P.",17.8,$822.84M,2013,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sxcp
SXC,"SunCoke Energy, Inc.",10.76,$694.96M,2011,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sxc
SU,Suncor Energy  Inc.,34.54,$56.61B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/su
STG,Sunlands Online Education Group,8.3,$1.43B,2018,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/stg
SUN,Sunoco LP,25.51,$2.52B,2012,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/sun
SHO,"Sunstone Hotel Investors, Inc.",15.22,$3.43B,2004,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/sho
SHO^E,"Sunstone Hotel Investors, Inc.",25.11,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sho^e
SHO^F,"Sunstone Hotel Investors, Inc.",24.82,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sho^f
STI,"SunTrust Banks, Inc.",68.04,$31.86B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sti
STI.WS.A,"SunTrust Banks, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sti.ws.a
STI.WS.B,"SunTrust Banks, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sti.ws.b
STI^A,"SunTrust Banks, Inc.",24.2485,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sti^a
SPN,"Superior Energy Services, Inc.",8.43,$1.3B,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/spn
SUP,"Superior Industries International, Inc.",13.3,$332.3M,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/sup
SVU,SuperValu Inc.,15.23,$584.96M,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/svu
SLD,Sutherland Asset Management Corporation,15.15,$484.75M,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sld
SLDA,Sutherland Asset Management Corporation,25.54,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/slda
SWZ,"Swiss Helvetia Fund, Inc. (The)",12.25,$310.09M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/swz
SWCH,"Switch, Inc.",15.91,$4.02B,2017,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/swch
SYF,Synchrony Financial,33.53,$25.49B,2014,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/syf
SNX,Synnex Corporation,118.4,$4.75B,2003,Technology,Retail: Computer Software & Peripheral Equipment,https://www.nasdaq.com/symbol/snx
SNV,Synovus Financial Corp.,49.94,$5.93B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/snv
SNV^C,Synovus Financial Corp.,26.01,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/snv^c
GJP,"Synthetic Fixed-Income Securities, Inc.",22.21,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gjp
GJR,"Synthetic Fixed-Income Securities, Inc.",22.22,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gjr
GJT,"Synthetic Fixed-Income Securities, Inc.",20.757,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gjt
GJV,"Synthetic Fixed-Income Securities, Inc.",25.95,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gjv
SYY,Sysco Corporation,59.96,$31.29B,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/syy
SYX,Systemax Inc.,28.55,$1.06B,n/a,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/syx
DATA,"Tableau Software, Inc.",80.82,$6.59B,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/data
TAHO,"Tahoe Resources, Inc.",4.69,$1.47B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/taho
TLRD,"Tailored Brands, Inc.",25.06,$1.23B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/tlrd
TWN,"Taiwan Fund, Inc. (The)",21.15,$172.66M,1986,n/a,n/a,https://www.nasdaq.com/symbol/twn
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,43.76,$226.94B,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/tsm
TAL,TAL Education Group,37.09,$18.31B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/tal
TEGP,"Tallgrass Energy GP, LP",19.02,$3.51B,2015,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/tegp
TEP,"Tallgrass Energy Partners, LP",37.89,$2.77B,2013,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/tep
SKT,"Tanger Factory Outlet Centers, Inc.",22,$2.08B,1993,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/skt
TPR,"Tapestry, Inc.",52.61,$14.99B,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/tpr
NGLS^A,Targa Resources Partners LP,26.81,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ngls^a
TRGP,"Targa Resources, Inc.",44,$9.63B,2010,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/trgp
TGT,Target Corporation,69.43,$37.41B,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/tgt
TARO,Taro Pharmaceutical Industries Ltd.,98.74,$3.96B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/taro
TTM,Tata Motors Ltd,25.7,$17.45B,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/ttm
TCO,"Taubman Centers, Inc.",56.91,$3.47B,1992,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/tco
TCO^J,"Taubman Centers, Inc.",24.65,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tco^j
TCO^K,"Taubman Centers, Inc.",24.05,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tco^k
TMHC,Taylor Morrison Home Corporation,23.28,$2.61B,2013,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/tmhc
TCP,"TC PipeLines, LP",34.69,$2.54B,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/tcp
TCF,TCF Financial Corporation,22.81,$3.9B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tcf
TCF.WS,TCF Financial Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tcf.ws
TCF^D,TCF Financial Corporation,25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tcf^d
TSI,"TCW Strategic Income Fund, Inc.",5.57,$265.62M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tsi
TEL,TE Connectivity Ltd.,99.9,$35.1B,n/a,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/tel
TISI,"Team, Inc.",13.75,$412.32M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/tisi
FTI,TechnipFMC plc,29.45,$13.63B,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/fti
TECK,Teck Resources Ltd,25.76,$14.59B,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/teck
TK,Teekay Corporation,8.09,$811.08M,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/tk
TGP,Teekay LNG Partners L.P.,17.9,$1.42B,2005,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/tgp
TGP^A,Teekay LNG Partners L.P.,24.8001,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tgp^a
TGP^B,Teekay LNG Partners L.P.,23.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tgp^b
TOO,Teekay Offshore Partners L.P.,2.27,$930.8M,2006,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/too
TOO^A,Teekay Offshore Partners L.P.,21.2593,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/too^a
TOO^B,Teekay Offshore Partners L.P.,23.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/too^b
TOO^E,Teekay Offshore Partners L.P.,24.55,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/too^e
TNK,Teekay Tankers Ltd.,1.19,$332.65M,2007,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/tnk
GCI,TEGNA Inc.,9.98,$1.13B,2015,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/gci
TGNA,TEGNA Inc.,11.39,$2.46B,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/tgna
TRC,Tejon Ranch Co,23.11,$598.84M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/trc
HQH,Tekla Healthcare Investors,21.53,$885.17M,1987,n/a,n/a,https://www.nasdaq.com/symbol/hqh
THQ,Tekla Healthcare Opportunies Fund,16.48,$706.43M,2014,n/a,n/a,https://www.nasdaq.com/symbol/thq
HQL,Tekla Life Sciences Investors,19.22,$419.07M,1992,n/a,n/a,https://www.nasdaq.com/symbol/hql
THW,Tekla World Healthcare Fund,12.83,$390.03M,2015,n/a,n/a,https://www.nasdaq.com/symbol/thw
TDOC,"Teladoc, Inc.",40.3,$2.49B,2015,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/tdoc
TLRA,"Telaria, Inc.",3.76,$195.59M,2013,Technology,Advertising,https://www.nasdaq.com/symbol/tlra
TEO,Telecom Argentina Stet - France Telecom S.A.,31.33,$6.07B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/teo
TI,Telecom Italia S.P.A.,9.57,$20.16B,n/a,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/ti
TI.A,Telecom Italia S.P.A.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ti.a
TDY,Teledyne Technologies Incorporated,187.17,$6.68B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/tdy
TFX,Teleflex Incorporated,254.98,$11.81B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/tfx
VIV,Telefonica Brasil S.A.,15.36,$25.94B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/viv
TEF,Telefonica SA,9.87,$51.25B,1988,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tef
TDA,"Telephone and Data Systems, Inc.",24.55,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tda
TDE,"Telephone and Data Systems, Inc.",25.307,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tde
TDI,"Telephone and Data Systems, Inc.",25.0346,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tdi
TDJ,"Telephone and Data Systems, Inc.",25.2334,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tdj
TDS,"Telephone and Data Systems, Inc.",28.03,$3.11B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tds
TU,TELUS Corporation,35.16,$20.92B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tu
TDF,"Templeton Dragon Fund, Inc.",22.24,$761.25M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tdf
EMF,Templeton Emerging Markets Fund,16.28,$293.19M,1987,n/a,n/a,https://www.nasdaq.com/symbol/emf
TEI,"Templeton Emerging Markets Income Fund, Inc.",11.3,$542.38M,1993,n/a,n/a,https://www.nasdaq.com/symbol/tei
GIM,"Templeton Global Income Fund, Inc.",6.39,$857.18M,1988,n/a,n/a,https://www.nasdaq.com/symbol/gim
TS,Tenaris S.A.,34.67,$20.46B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ts
THC,Tenet Healthcare Corporation,24.25,$2.45B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/thc
TNC,Tennant Company,67.7,$1.21B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/tnc
